,Gemeentenaam,energetic_emissions_other_ghg_agriculture,energetic_emissions_other_ghg_buildings,energetic_emissions_other_ghg_energy,energetic_emissions_other_ghg_households,energetic_emissions_other_ghg_industry,energetic_emissions_other_ghg_transport,indirect_emissions_co2,non_energetic_emissions_co2_agriculture_manure,non_energetic_emissions_co2_agriculture_soil_cultivation,non_energetic_emissions_co2_chemical_industry,non_energetic_emissions_co2_other_industry,non_energetic_emissions_co2_waste_management,non_energetic_emissions_other_ghg_agriculture_fermentation,non_energetic_emissions_other_ghg_agriculture_manure,non_energetic_emissions_other_ghg_agriculture_other,non_energetic_emissions_other_ghg_agriculture_soil_cultivation,non_energetic_emissions_other_ghg_chemical_industry,non_energetic_emissions_other_ghg_other_industry,non_energetic_emissions_other_ghg_waste_management
GM0453,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0473,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0479,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0482,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0484,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0489,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0498,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0502,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0503,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0505,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0512,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0513,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0518,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0523,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0531,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0532,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0534,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0537,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0542,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0546,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0547,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0553,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0556,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0569,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0575,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0579,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0589,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0590,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0597,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0599,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0603,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0606,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0610,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0613,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0622,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0626,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0627,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0629,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0632,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0637,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0638,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0642,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0654,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0664,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
